city,price,name,address,description,link,asking_price,date_added,days_on_market,property_type,subtype,lot_size_acres,zoning,lease_type,tenancy,brand_tenant,square_footage,cap_rate_percentage,occupancy_percentage,noi,investment_type,buildings,net_rentable_sqft,ownership,year_built,stories,class,rent_bumps,loading_docks,dock_high_doors,ceiling_height,year_renovated,broker_co_op,lease_expiration,price_sqft_land_value,lease_term_year,sale_condition,number_of_tenants,tenant_credit,lease_commencement,parking_spaces,units,price_acre_land_value,lease_options,ground_lease,price_sqft,remaining_term_year
charlotte nc,1050000.0,0 allen black rd,"0 Allen Black Rd Matthews, NC, 28104 Matthews, NC 28104",Land • 2.64 acres,https://www.crexi.com/properties/1640199/north-carolina-0-allen-black-rd,1050000.0,2024-08-07,348.0,land,residential,2.64,Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,999000.0,221 e kingston avenue,"221 E Kingston Ave Charlotte, NC 28203","Office • 1,412 SF",https://www.crexi.com/properties/1961148/north-carolina-221-e-kingston-avenue,999000.0,2025-06-12,40.0,office,"creative office, executive office, traditional office",0.16,TOD-NC (HDO),,,,1412.0,,,,,1.0,1412.0,,1920,1.0,,,,,,2025.0,,,,,,,,,,1.0,,,,,
charlotte nc,,8910 s tryon street,"8910 S Tryon St Charlotte, NC 28273",Investment Opportunity • Retail Shopping Center • Charlotte NC,https://www.crexi.com/properties/1831221/north-carolina-8910-s-tryon-street,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,900000.0,"1720 oakdale road charlotte, nc","1720 Oakdale Rd Charlotte, NC 28216",Office/Retail For Sale,https://www.crexi.com/properties/1746433/north-carolina-1720-oakdale-road-charlotte-nc,900000.0,2025-01-13,189.0,"office, retail","bank, traditional office",1.94,Office,,,,2473.0,,,,Owner/User,1.0,,,1994,1.0,,,,,,,,,,,For sale by owner,,,,,,,,,,
charlotte nc,1500000.0,kirkley,"2925 Derita Av. Charlotte, NC 28269",Land • 3.03 acres,https://www.crexi.com/properties/1717864/north-carolina-kirkley,1500000.0,2024-11-15,248.0,"land, multifamily, office, retail, self storage",shopping center,3.03,B-1,,,,,,,,,2.0,,Individual,,,,,,,,,,,,,,,,,,,500000.0,,,,
charlotte nc,5463000.0,circle k,"1250 Lucky Penny St Charlotte, NC 28208","Retail • 6.15% CAP • 4,181 SF",https://www.crexi.com/properties/1691105/north-carolina-circle-k,5463000.0,2024-10-18,277.0,retail,"convenience store, gas station",1.27,,Absolute NNN,single,circle k,4181.0,6.15,100.0,336000.0,Sale/Leaseback,1.0,4181.0,,2023,,A,10% every 5 years,,,,,Yes,,,15.0,Sale for leaseback,,Franchisee,,16.0,,,"5, 5 year",No,,15.0
charlotte nc,,"2800 w sugar creek rd, outparcel","2800 W Sugar Creek Rd Charlotte, NC 28262",Prime Outparcel Opportunity at Crossroads Shopping Center,https://www.crexi.com/properties/1582663/north-carolina-2800-w-sugar-creek-rd-outparcel,,2024-07-09,377.0,land,commercial,0.7,CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,1568000.0,family dollar,"4130 Rozzelles Ferry Rd Charlotte, NC 28216","Retail • 7.75% CAP • 8,537 SqFt",https://www.crexi.com/properties/1901711/north-carolina-family-dollar,1568000.0,2025-04-23,89.0,retail,"grocery store, storefront",0.95,CG,NN,single,family dollar,8537.0,7.75,100.0,121503.0,,,,Fee simple interest (land & building ownership),2000,,,10% rental increase,,,,,,2030-06-30,,,,,Corporate Guarantee,,36.0,,,2 (5-year),,,4.9
charlotte nc,800000.0,4704 shopton rd.,"4704 Shopton Rd Charlotte, NC 28217",Land • 0.7 acres,https://www.crexi.com/properties/1752251/north-carolina-4704-shopton-rd,800000.0,2025-01-21,181.0,land,commercial,0.7,CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,450000.0,"10965 winds crossing drive, suite 300, charlotte, nc 28273","10965 Winds Crossing Dr Charlotte, NC 28273","Office • 1,427 SF 10965 Winds Crossing Drive Charlotte, NC 28273",https://www.crexi.com/properties/1334455/north-carolina-10965-winds-crossing-drive-suite-300-charlotte-nc-28273,450000.0,2023-12-01,598.0,office,"executive office, traditional office",,,,,,1427.0,,,,,,,,2006,1.0,,,,,,,,,,,,,,,,,,,,315.35,
charlotte nc,1950000.0,3.61 acres for sale,"9100 Mt Holly Rd Charlotte, NC 28214",Land • 3.61 acres,https://www.crexi.com/properties/1914698/north-carolina-361-acres-for-sale,1950000.0,2025-04-28,84.0,land,"commercial, residential",3.61,N1-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,3523361.0,"cvs/pharmacy charlotte, nc","1801 Milton Rd Charlotte, NC 28215",Dominant CVS Store,https://www.crexi.com/properties/827387/north-carolina-cvspharmacy-nn-asset-charlotte-nc,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,1200000.0,"1.22 +/- ac, signalized corner","6797 N Tryon St Charlotte, NC 28213",Signalized Corner • 1.22 acres,https://www.crexi.com/properties/1819999/north-carolina-122---ac-signalized-corner,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,plaza midwood retail,"1212 Pecan Avenue & 1801 Commonwealth Ave Charlotte, NC 28205","Retail • 15,000 SF",https://www.crexi.com/properties/232668/north-carolina-1212-pecan-avenue,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,1350000.0,metrolina park,"5326 Gibbon Rd Charlotte, NC 28269",Land • 2.49 acres,https://www.crexi.com/properties/1804831/north-carolina-metrolina-park,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,s. summit avenue - office site infill land sale,"S Summit Ave Charlotte, NC 28208",office site land near uptown Charlotte in an opportunity zone,https://www.crexi.com/properties/1293116/north-carolina-s-summit-avenue---infill-land-sale,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,1250000.0,2625-2629 tuckaseegee rd,"2625-2629 Tuckaseegee Rd Charlotte, NC 28208","Retail • +/- 0.448 AC with +/- 7,734 SF",https://www.crexi.com/properties/881728/north-carolina-2625-2929-tuckaseegee-rd,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,1000000.0,10412 harrisburg rd,"10412 Harrisburg Rd Charlotte, NC 28215",Land • +/- 10.01 AC For Sale,https://www.crexi.com/properties/1924572/north-carolina-10412-harrisburg-rd,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,795000.0,"commercial lot on hwy 29 in charlotte, nc","10800 N Tryon St Charlotte, NC 28262","Commercial Lot with great visibility for Sale on Hwy 29 in Charlotte, NC 28262",https://www.crexi.com/properties/1818036/north-carolina-commercial-lot-for-sale-on-hwy-29-in-charlotte-nc,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,diverse net lease portfolio with national tenants,18 LOCATIONS,Various Locations Nationwide • Must Be Purchased as a Portfolio,https://www.crexi.com/properties/1897053/north-carolina-diverse-net-lease-portfolio-with-national-tenants,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,1650000.0,6709 n tryon st,"6709 N Tryon St Charlotte, NC 28213",FORMER BANK BRANCH FOR SALE • PRIME RETAIL LOCATION IN CHARLOTTE,https://www.crexi.com/properties/1337405/north-carolina-former-bank-branch,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,530000.0,mint hill outparcel,"Blair Road (Hwy 51) at Fairview Road (Hwy 218) Charlotte, NC 28227",Land • 0.842 acres,https://www.crexi.com/properties/372327/north-carolina-mint-hill-outparcel,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,e. cama street and e. peterson drive charlotte,"E. Cama Street and E. Peterson Drive Charlotte Charlotte, NC 28217",Land • 1.677 acres,https://www.crexi.com/properties/1202780/north-carolina-e-cama-street-and-e-peterson-drive-charlotte,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,3206 south tryon st,"3206 S Tryon St Charlotte, NC 28217",Development site is LOSO area Corner Lot Charlotte NC,https://www.crexi.com/properties/1928681/north-carolina-3206-south-tryon-st,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
